"data.Species";"data.Entries";"data.Mean";"data.Mean_normalized";"data.Variance";"data.Variance_normalized";"two_tailed_result";"two_tailed_result_normalized";"one_tailed_result";"one_tailed_result_normalized";"p";"p_normalized"
"SP_CHATO";980;0.126530612244898;0.563265306122449;0.97273769569115;0.243184423922788;TRUE;TRUE;TRUE;TRUE;3.18400336161151e-05;3.73128424940861e-05
"SP_REPLICON";980;-0.0673469387755102;0.466326530612245;0.986266702799624;0.246566675699906;TRUE;TRUE;TRUE;TRUE;0.017005465508608;0.0175028410385466
"SP_HUMAN";980;-0.0653061224489796;0.46734693877551;0.990623501698945;0.247655875424736;TRUE;TRUE;TRUE;TRUE;0.0201176054378029;0.0204567764922484
"SP_SLY";980;-0.352040816326531;0.323979591836735;0.867769068812411;0.216942267203103;TRUE;TRUE;TRUE;TRUE;0;0
"SP_FULVER";980;-0.340816326530612;0.329591836734694;0.874532530070262;0.218633132517566;TRUE;TRUE;TRUE;TRUE;0;0
"SP_LAENFA";980;0.139795918367347;0.569897959183673;0.970222634508347;0.242555658627087;TRUE;TRUE;TRUE;TRUE;4.94253073601847e-06;6.03541866306401e-06
"SP_EAXAW";980;0.0285714285714286;0.514285714285714;0.992032686414696;0.248008171603674;FALSE;FALSE;FALSE;FALSE;0.184700047953751;0.18554668476135
"SP_EGASSEM";980;-0.0306122448979592;0.48469387755102;0.998040482791682;0.249510120697921;FALSE;FALSE;FALSE;FALSE;0.168833531475553;0.168952009551502
"SP_GEORGE";980;0.13265306122449;0.566326530612245;0.973192136916062;0.243298034229016;TRUE;TRUE;TRUE;TRUE;1.39739956366292e-05;1.64289356101577e-05
"SP_ETTY";980;0.0846938775510204;0.54234693877551;0.986690917429292;0.246672729357323;TRUE;TRUE;TRUE;TRUE;0.00386498406767133;0.00400868121874187
"SP_GYSACHE";980;-0.00816326530612245;0.495918367346939;0.990740238894338;0.247685059723585;FALSE;FALSE;FALSE;FALSE;0.398715916283608;0.399148923664263
"SP_SCYLIOR";980;0.05;0.525;0.989325842696629;0.247331460674157;FALSE;FALSE;TRUE;TRUE;0.0579435522130196;0.0587624340483195
"SP_TRITH";980;0.360204081632653;0.680102040816327;0.863991786704474;0.215997946676118;TRUE;TRUE;TRUE;TRUE;0;0
"SP_CRAY";980;0.11734693877551;0.558673469387755;0.980086927518694;0.245021731879674;TRUE;TRUE;TRUE;TRUE;0.000109175806333184;0.000119606488472646
"SP_ABADDONI";980;-0.175510204081633;0.412244897959184;0.964057451376891;0.241014362844223;TRUE;TRUE;TRUE;TRUE;1.424901074909e-08;1.96088859594212e-08
