Species;Entries;Mean;Mean_normalized;Variance;Variance_normalized;
SP_CHATO;980;0.12653061224489795;0.563265306122449;0.9727376956911503;0.24318442392278758;
SP_REPLICON;980;-0.0673469387755102;0.4663265306122449;0.9862667027996245;0.24656667569990612;
SP_HUMAN;980;-0.0653061224489796;0.4673469387755102;0.9906235016989451;0.24765587542473627;
SP_SLY;980;-0.3520408163265306;0.3239795918367347;0.8677690688124106;0.21694226720310264;
SP_FULVER;980;-0.3408163265306122;0.3295918367346939;0.8745325300702624;0.2186331325175656;
SP_LAENFA;980;0.13979591836734695;0.5698979591836735;0.970222634508347;0.24255565862708675;
SP_EAXAW;980;0.02857142857142857;0.5142857142857142;0.9920326864146963;0.24800817160367408;
SP_EGASSEM;980;-0.030612244897959183;0.4846938775510204;0.9980404827916823;0.24951012069792058;
SP_GEORGE;980;0.1326530612244898;0.5663265306122449;0.9731921369160624;0.2432980342290156;
SP_ETTY;980;0.08469387755102041;0.5423469387755102;0.9866909174292925;0.24667272935732312;
SP_GYSACHE;980;-0.00816326530612245;0.4959183673469388;0.9907402388943385;0.24768505972358462;
SP_SCYLIOR;980;0.05;0.525;0.9893258426966295;0.24733146067415737;
SP_TRITH;980;0.36020408163265305;0.6801020408163265;0.8639917867044737;0.21599794667611844;
SP_CRAY;980;0.11734693877551021;0.5586734693877551;0.9800869275186942;0.24502173187967355;
SP_ABADDONI;980;-0.17551020408163265;0.4122448979591837;0.9640574513768908;0.2410143628442227;
