Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;12.0;4;20.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;11.0;5;20.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;10.0;5;21.0;1;11.3999996185;16.0;6;32.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;11.3999996185;16.0;6;31.1394309998;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;12.3999996185;15.5697154999;6;30.3649177551;
6;2;9.50100040436;11.2650718689;4;24.1066050529;1;13.3999996185;15.1824588776;6;29.6678562164;
7;2;10.4239864349;11.543302536;4;24.5685391426;2;14.2003574371;14.8339281082;5;30.1136074066;
8;2;10.527920723;11.7641716003;4;25.180866003;2;14.0340824127;14.5568037033;5;29.6376994848;
9;2;10.6656951904;12.0549411774;4;25.6679409742;2;13.8913097382;14.3073921204;5;29.5278344154;
10;2;10.7752866745;12.2827939987;4;26.0522544384;2;16.0549507141;14.229136467;5;29.4352473021;
11;2;10.8617572784;12.4589796066;5;26.1668007374;2;18.0549507141;14.1587057114;5;29.3583852053;
12;2;13.7824735641;12.5;5;26.1998585463;2;20.0549507141;14.0953178406;5;29.2958471775;
13;2;15.7824735641;12.5;5;26.233456254;2;21.0998744965;14.038269043;5;29.2463667393;
14;2;16.8047847748;12.5;5;26.26758039;2;22.1158370972;13.9869251251;5;29.2088001966;
15;2;17.812461853;12.5;5;26.302216053;2;22.7626399994;13.9407157898;5;29.1821110249;
16;2;18.8202552795;12.5;4;26.3373470306;2;22.7546348572;13.8991270065;7;29.1653621197;
17;2;19.8281593323;12.5;3;26.3729559183;2;22.3170185089;14.2942876816;7;29.1577017307;
18;2;19.9339141846;12.5;3;26.4090241194;2;22.7473106384;13.8280105591;7;29.1583541632;
19;2;19.942029953;12.5;3;26.4455316067;2;22.747505188;13.7976922989;7;29.1666154861;
20;2;19.9502449036;12.5;5;26.4824572802;2;22.2622451782;14.2581472397;7;29.1818381548;
21;2;19.9585533142;12.5;5;26.5197787285;2;22.7545509338;13.7458496094;8;29.2034307718;
22;2;19.9669494629;12.5;5;26.5574725866;3;21.8849258423;13.7237482071;7;32.7613387108;
23;2;19.9754314423;12.5;5;26.5955142975;3;22.4000816345;14.2143344879;7;32.9518778324;
24;2;19.9839897156;12.5;6;26.633878231;3;23.3904151917;14.5561285019;7;33.1485102177;
