Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;11.0;6;20.0;1;8.14999961853;10.5;5;21.0;
5;1;8.0;10.0;6;20.0;1;8.14999961853;10.5;5;21.0;
6;1;9.0;10.0;6;20.0;1;9.14999961853;10.5;5;21.0;
7;1;9.5;10.0;6;20.0;1;9.72500038147;10.5;5;21.0;
8;1;9.5;10.0;6;20.3999996185;1;9.72500038147;10.5;5;21.4200000763;
9;1;9.59000015259;10.1999998093;6;20.7264003754;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;9.66343975067;10.3632001877;6;20.9903717041;1;9.8956489563;10.8792181015;5;22.0;
11;1;9.72283363342;10.4951858521;6;22.0419120789;1;9.94999980927;11.0;5;23.5400009155;
12;1;9.95943069458;11.0209560394;5;22.9143505096;1;10.296500206;11.7700004578;6;24.8252849579;
13;1;11.7228336334;11.4571752548;5;23.6214065552;1;11.9499998093;12.4126424789;6;25.8616695404;
14;1;12.7228336334;11.8107032776;4;24.1832637787;1;12.9499998093;12.9308347702;6;26.6732940674;
15;1;13.7228336334;12.0916318893;4;24.6226100922;1;13.9499998093;13.3366470337;6;27.2939033508;
16;1;14.7228336334;12.3113050461;4;24.9617595673;1;14.9499998093;13.6469516754;6;27.759563446;
17;1;15.7228336334;12.4808797836;4;25.0;1;15.9499998093;13.879781723;6;28.0;
18;1;16.7228336334;12.5;5;25.0;1;16.9500007629;14.0;6;28.0;
19;1;17.625;12.5;5;25.0;1;17.9500007629;14.0;6;28.0;
20;1;17.625;12.5;5;25.0;1;18.2999992371;14.0;6;28.0;
21;1;17.625;12.5;5;25.0;1;18.2999992371;14.0;6;28.0;
22;1;17.625;12.5;6;25.0;1;18.2999992371;14.0;6;28.0;
23;1;17.625;12.5;7;25.0;1;18.2999992371;14.0;7;28.0;
24;1;17.625;12.5;8;25.0;1;18.2999992371;14.0;7;28.0;
25;1;17.625;12.5;8;25.0;1;18.2999992371;14.0;7;28.0;
26;1;17.625;12.5;8;25.0;1;18.2999992371;14.0;8;28.0;
27;1;17.625;12.5;8;25.0;1;18.2999992371;14.0;8;28.0;
28;1;17.625;12.5;8;25.0;1;18.2999992371;14.0;8;28.0;
29;1;17.625;12.5;8;25.0;1;18.2999992371;14.0;8;28.0;
30;1;17.625;12.5;8;25.0;1;16.2999992371;15.0;8;28.0;
31;1;15.625;13.5;8;25.0;1;15.2999992371;16.0;8;28.0;
32;1;14.625;14.5;8;25.0;1;14.2999992371;17.0;8;28.0;
33;1;13.625;15.5;8;25.0;1;13.2999992371;18.0;9;28.0;
34;1;12.625;16.5;8;25.0;1;12.2999992371;19.0;9;28.0;
35;1;12.0;17.5;8;25.0;1;12.0;20.0;9;28.0;
36;1;12.0;18.5;8;25.0;1;12.0;21.0;9;28.0;
37;1;12.0;19.5;8;25.0;2;12.0;22.0;8;28.0;
38;1;12.0;20.5;10;25.0;2;12.0;23.0;9;28.0;
39;1;12.0;21.5;10;25.0;2;12.0;24.0;9;28.0;
40;1;12.0;22.5;10;25.0;2;12.0;25.0;9;28.0;
41;1;12.0;23.5;12;25.0;2;12.0;26.0;9;28.0;
42;1;12.0;24.5;12;25.0;2;12.0;27.0;11;28.0;
43;1;12.0;25.5;13;25.0;3;14.0;25.5;9;29.0;
44;1;12.0;26.5;13;25.0;3;14.0;26.0;9;29.1599999666;
45;1;12.0;27.5;14;25.0;3;14.2609996796;27.0;9;29.3437439203;
46;1;12.0;28.5;15;25.0;4;16.0;26.1718711853;9;30.5541238785;
47;1;12.0;29.5;16;25.0;4;16.0;26.7770614624;9;30.954171896;
48;1;13.0;27.5;17;25.0;4;16.0;27.8970851898;11;31.4107345343;
49;1;12.0;28.5;17;25.0;4;17.0;26.0334949493;11;31.9297783375;
50;1;12.0;29.5;18;25.0;4;16.0;26.0;11;32.5172504187;
51;2;13.0;27.5;18;25.0;4;16.0;27.0;12;33.1788408756;
52;2;12.0;28.5;18;25.0;4;17.0;25.0;12;33.919683218;
53;2;12.0;29.5;19;25.0;4;16.0;26.0;12;34.7439906597;
54;2;13.0;27.5;19;25.0;4;17.0;26.0;14;35.6546401978;
55;2;12.0;28.5;19;25.0;4;18.0;27.0;13;36.6527237892;
56;2;12.0;29.5;16;25.0;4;19.0;28.0;12;37.7370977402;
57;2;13.0;27.5;16;25.0;4;20.0;29.0;12;38.9039793015;
58;2;12.0;28.5;16;25.0;4;21.0;30.0;12;40.1466393471;
59;2;12.0;29.5;16;25.0;4;22.0;29.0;12;41.4552536011;
60;2;12.0;30.5;17;25.0;4;22.2999992371;29.0;13;42.8169674873;
61;2;12.0;31.5;16;25.0;4;22.2999992371;29.0;13;44.2162032127;
62;2;12.0;32.5;14;25.0;4;22.2999992371;29.0;13;45.6352262497;
63;1;12.0;33.5;14;25.0;5;22.2999992371;29.0;11;47.0549440384;
64;1;12.0;34.5;15;25.0;5;22.2999992371;29.0;11;48.4558601379;
65;1;13.0;32.5;15;25.0;5;22.2999992371;29.0;10;49.819108963;
66;1;12.0;33.5;16;25.0;5;22.2999992371;29.0;10;51.127450943;
67;1;12.0;34.5;16;25.0;5;22.2999992371;30.0;11;52.3661155701;
68;1;13.0;32.5;18;25.0;5;23.2999992371;29.0;11;53.5234203339;
69;1;12.0;33.5;19;25.0;5;24.2999992371;29.0;12;55.5911064148;
70;1;12.0;34.5;19;25.0;5;26.2999992371;30.0;13;56.5943863392;
71;1;13.0;32.5;21;25.0;6;28.5570697784;32.0;12;58.5023224354;
72;1;12.0;33.5;21;25.0;6;29.6392822266;34.0;13;59.4762333632;
73;1;12.0;34.5;21;25.0;6;29.7113685608;36.0;13;60.3835037947;
74;1;13.0;32.5;22;25.0;6;29.7740821838;38.0;13;61.232403636;
75;1;12.0;33.5;23;25.0;6;29.8282661438;39.0;13;62.0325157642;
76;1;12.0;34.5;23;25.0;6;29.874797821;39.8970870972;13;62.7294881344;
77;1;13.0;32.5;24;25.0;6;29.8999996185;40.033493042;13;63.3129134178;
78;1;12.0;33.5;24;25.0;6;30.4345226288;39.0;14;63.9016094208;
79;1;12.0;34.5;25;25.0;7;29.8999996185;40.0;15;64.4373588562;
80;1;13.0;32.5;24;25.0;7;29.8999996185;40.5559234619;15;64.9049879313;
81;1;12.0;33.5;25;25.0;7;29.8999996185;40.7720146179;15;67.2886676788;
82;1;12.0;34.5;26;25.0;7;28.0890007019;42.4658966064;15;69.3885800838;
83;1;13.0;32.5;27;25.0;7;30.2291622162;39.7773666382;17;71.2616958618;
84;1;12.0;33.5;27;25.0;7;31.5402240753;41.957901001;18;72.7188228369;
85;1;12.0;34.5;27;25.0;7;31.0543251038;42.0129547119;19;75.0518280268;
86;1;13.0;32.5;28;25.0;7;30.7375602722;44.0813522339;19;76.4909653664;
87;1;12.0;33.5;28;25.0;8;30.7810554504;46.1079025269;18;77.6106086969;
88;1;12.0;34.5;28;25.0;8;28.7810554504;49.0;18;78.7883840799;
89;1;13.0;32.5;28;25.0;8;28.7810554504;51.0;18;80.0136575699;
90;1;12.0;33.5;29;25.0;8;28.7810554504;49.0;18;81.2750046253;
91;1;12.0;34.5;29;25.0;8;26.7810554504;49.0;19;82.5611633062;
92;1;13.0;32.5;29;25.0;8;26.7810554504;51.0;18;83.8619494438;
93;1;12.0;33.5;29;25.0;8;28.7810554504;53.0;18;86.1689542532;
94;1;12.0;34.5;27;25.0;9;29.7310562134;57.0;9;100.285879254;
95;1;13.0;32.5;27;25.0;9;31.75;63.0;10;102.862573504;
96;1;12.0;33.5;27;25.0;10;33.0098228455;69.0;9;105.384298563;
97;1;12.0;34.5;28;25.0;10;34.0328063965;75.0;10;107.826011777;
98;1;13.0;32.5;28;25.0;10;32.75;82.0;12;110.168506145;
99;1;12.0;33.5;28;25.0;10;32.75;88.742401123;14;112.398434043;
100;1;12.0;34.5;26;25.0;11;32.75;93.6661453247;14;114.507527947;
