Turn;Planet_count_KI_1_SP_GEORGE;Research_KI_1_SP_GEORGE;Industry_KI_1_SP_GEORGE;Ships_KI_1_SP_GEORGE;Population_KI_1_SP_GEORGE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;2;6.0;12.8999996185;3;22.0;
2;1;7.0;13.0;6;20.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;8.0;12.0;5;20.0;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;8.0;11.0;5;20.0;2;8.32806777954;10.5;3;22.2917383909;
5;1;8.0;10.0;5;20.0;2;8.34376049042;10.5;3;22.4042263031;
6;1;9.0;10.0;5;20.0;2;9.46595096588;10.5;3;22.5249304771;
7;2;9.5;10.3000001907;3;21.0;2;10.0681095123;10.5;3;22.6541694403;
8;2;9.72500038147;10.0;3;21.4999996424;2;10.0971889496;10.5;3;23.2287653685;
9;2;9.8375005722;10.1999998093;3;21.9353003502;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;9.93544197083;10.3632001877;3;22.3176362514;2;10.3400268555;10.8792181015;3;24.1532578468;
11;2;10.0214681625;10.4951858521;3;23.5373773575;2;10.4344825745;11.0;3;26.0129473209;
12;2;10.2959108353;11.0209560394;3;24.5968167782;2;10.8529129028;11.7700004578;3;27.6574776173;
13;2;12.1013889313;11.4571752548;2;25.5111111403;2;12.5872430801;12.4126424789;3;29.0951218605;
14;2;14.1013889313;11.8107032776;2;26.3018171787;2;14.5872430801;12.9308347702;3;30.3518810272;
15;2;16.1013889313;12.0916318893;2;26.9928781986;2;16.5872421265;13.3366470337;4;31.4625301361;
16;2;17.2561435699;12.3113050461;2;27.6076834202;3;17.8879413605;13.6469516754;3;32.4630823135;
17;2;18.3181667328;12.4808797836;2;27.9463441372;3;19.0082912445;13.879781723;3;33.2818861008;
18;2;19.385761261;12.5;2;28.2720229626;3;20.138425827;14.0;3;33.9008235931;
19;2;20.3612060547;12.5;2;28.6230447292;3;21.2776870728;14.0;3;34.5557665825;
20;2;20.4401855469;12.5;2;28.9990065098;3;21.7750473022;14.0;3;35.2404661179;
21;2;20.5247764587;12.5;2;29.3989467621;3;21.9291038513;14.0;3;35.9471020699;
22;2;20.6147632599;12.5;2;29.8212919235;3;22.0880966187;14.0;3;36.6665449142;
