Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
85;9;31.75;84.425491333;27;69.5939493179;10;39.6859588623;94.3000030518;27;85.4259638786;
86;9;30.75;85.5754852295;27;70.1981248856;10;40.7606620789;94.8860168457;27;85.5499159098;
87;9;30.75;87.7265396118;21;70.8029284477;10;40.8328781128;94.8799209595;27;86.2424294353;
88;9;30.75;89.8777389526;21;71.4047045708;10;40.1599807739;97.9830551147;29;86.9633060694;
89;9;30.75;91.7023468018;22;71.9998383522;10;40.6977539062;98.0936050415;28;87.7074056864;
90;9;30.75;92.3999176025;23;72.5848412514;10;40.042804718;98.2119140625;23;88.4689455032;
91;9;31.0;92.6924209595;23;73.1564340591;10;38.3913574219;101.338348389;23;90.2417427301;
92;10;32.0;92.9782180786;23;73.7116184235;10;39.7394180298;102.473236084;27;92.0794999599;
93;10;33.0;93.2558059692;22;74.2477378845;11;40.7394180298;102.616874695;26;92.9790662527;
94;10;34.0;93.5238647461;22;74.7625217438;11;39.7394180298;106.769538879;25;93.8778296709;
95;11;35.0;93.7812652588;21;75.2541131973;11;41.3394165039;108.93145752;25;94.7709829807;
96;10;34.0;89.027053833;21;61.7210845947;12;42.3394165039;111.10282135;18;109.654587626;
97;10;35.0;89.2605438232;21;62.1624307632;12;42.939414978;117.283721924;18;110.525663972;
98;10;35.5999984741;89.4812164307;22;63.5775537491;12;45.2101821899;120.474220276;18;111.382206678;
99;10;36.5999984741;90.6887741089;23;64.1662333012;12;45.4601898193;123.674278259;19;113.223121643;
100;10;37.5999984741;91.8831176758;24;64.7661913633;12;45.6888656616;130.883773804;20;114.128109097;
101;10;37.5999984741;97.7887802124;22;66.3838795424;12;47.8961982727;135.102493286;20;115.023042917;
102;10;38.5999984741;101.065536499;20;67.0665252209;12;49.0826759338;135.330108643;19;115.908965826;
103;10;39.5999984741;104.283401489;22;67.7935185432;12;47.2491760254;140.848022461;20;116.78719759;
104;10;39.5999984741;106.484222412;23;68.5633605719;12;48.3968544006;142.440124512;23;117.659168482;
105;10;39.5999984741;108.668746948;23;69.3840215206;12;49.5270690918;140.82611084;27;118.526280761;
106;10;39.5999984741;110.837776184;24;70.2627681494;12;47.6412773132;144.320236206;28;119.3897928;
107;10;39.5999984741;111.9921875;27;71.0156151056;12;48.7409858704;144.808380127;30;120.121269822;
108;12;39.5999984741;113.0;20;71.8431428671;12;49.75;142.309890747;30;120.855211854;
109;12;40.5999984741;104.400001526;20;72.7557157278;12;47.75;145.823638916;29;121.604833841;
110;13;39.5999984741;110.0;21;73.7486127615;12;49.75;142.721542358;30;122.368172407;
111;13;39.5999984741;111.0;21;76.0329422951;13;49.75;141.980438232;29;123.143133402;
112;13;39.5999984741;112.830001831;20;78.3805587292;13;47.75;146.901412964;28;123.92751646;
113;13;39.5999984741;115.659790039;21;80.7489888668;13;49.75;143.510513306;29;124.719043016;
114;13;39.5999984741;118.472396851;20;84.093603611;13;49.75;142.780456543;28;125.515381098;
115;13;41.5999984741;119.251831055;20;87.4511123896;14;52.75;144.052825928;28;126.314174652;
116;13;45.5999984741;119.313667297;20;90.768514514;14;56.75;145.926895142;26;127.113069773;
117;13;47.5999984741;123.375785828;22;93.0180242062;14;57.75;146.153579712;26;128.909739017;
118;13;50.5999984741;124.438110352;23;95.1212081909;14;61.75;146.581054688;27;129.766902447;
119;13;52.5999984741;126.500564575;22;97.0665382147;14;66.75;144.916610718;28;134.075051069;
120;13;54.5999984741;128.563064575;22;98.8516507149;14;70.75;147.045623779;30;137.93830061;
121;13;56.3499984741;130.625534058;22;100.481851935;14;74.5049362183;149.099746704;32;142.390373468;
122;13;56.6569824219;132.687896729;23;101.968142748;14;78.8278045654;151.421966553;31;145.672781467;
123;13;56.7369995117;134.750076294;24;103.325150967;14;83.1162414551;152.414962769;32;148.581116915;
124;13;55.7369995117;138.811981201;26;104.53922832;15;85.9759216309;153.339248657;35;151.085539699;
125;13;55.7369995117;142.751480103;25;105.492723107;16;88.5190811157;154.198913574;33;153.279325485;
126;13;55.7369995117;145.982116699;27;106.403069735;17;91.9870605469;152.901931763;31;155.187682509;
127;13;56.3499984741;148.496688843;27;107.176769853;17;95.3675079346;152.016860962;31;156.784503698;
128;13;56.8499984741;150.796966553;28;107.841923714;17;98.375;151.605010986;32;158.405756831;
129;13;56.8499984741;153.099716187;29;108.518769026;17;101.375;151.164840698;32;160.062016964;
130;13;56.8499984741;155.403961182;30;109.205467463;17;103.974998474;150.695266724;33;162.756372213;
131;13;56.8499984741;157.708694458;31;109.900082111;17;106.974998474;151.19581604;32;165.730355501;
132;13;56.8499984741;159.263442993;35;110.600604057;17;110.974998474;152.666412354;33;167.857620358;
133;13;56.8499984741;160.330230713;35;111.304977179;17;108.974998474;166.19581604;34;170.087602973;
134;13;56.8499984741;160.839935303;37;112.011124849;17;109.974998474;169.19581604;36;172.424060702;
135;13;57.8499984741;158.350585938;38;112.716974497;18;106.974998474;178.19581604;35;174.867355347;
136;13;61.8499984741;152.649169922;37;113.420483589;18;106.974998474;184.195800781;36;177.305862546;
137;13;60.8499984741;153.812225342;37;114.119660854;18;109.974998474;181.195800781;36;179.832141995;
138;14;62.8499984741;154.977630615;31;138.812586308;17;101.974998474;176.995803833;35;158.458507061;
139;14;66.8499984741;154.144989014;29;139.49743104;17;102.974998474;181.995803833;36;161.169162154;
140;14;68.8499984741;156.313964844;31;140.172469854;17;103.974998474;187.995803833;37;163.944710016;
141;15;70.0999984741;161.484161377;30;145.627159119;17;105.974998474;191.995803833;41;167.761582255;
142;15;72.0999984741;163.42364502;31;145.817584515;17;108.974998474;194.995803833;40;170.765536666;
143;15;75.0999984741;162.525146484;31;146.03864193;17;109.074996948;203.995803833;41;173.667782187;
144;15;75.0999984741;166.633453369;32;146.284710884;17;111.074996948;206.995803833;42;176.503985047;
145;15;78.0999984741;167.747467041;33;146.54325223;17;114.074996948;206.995803833;42;179.289028645;
146;15;79.575668335;168.866119385;34;146.785001755;17;113.074996948;212.995803833;44;181.935851812;
147;15;81.5281066895;169.988433838;36;148.039451122;17;115.074996948;216.995803833;43;184.465031624;
148;15;86.4852905273;167.947113037;35;148.38305819;17;120.074996948;214.995803833;44;186.872703552;
149;15;88.446762085;168.909912109;36;148.65836823;17;119.074996948;221.995803833;44;189.14882946;
150;15;86.8296279907;174.876434326;36;148.939091921;18;115.074996948;229.995803833;42;191.193983316;
151;15;86.8961486816;174.846313477;36;154.155984402;18;117.074996948;230.995803833;41;193.040560484;
152;15;87.5779266357;178.482452393;37;153.988320947;18;111.074996948;240.995803833;41;194.819570065;
153;16;83.5179595947;186.391723633;41;158.555920601;18;112.074996948;247.995803833;42;196.542090416;
154;16;84.0504455566;194.890563965;43;162.429408789;18;114.074996948;248.995803833;44;200.160664558;
155;16;84.218132019;204.253387451;45;165.708654165;18;111.074996948;258.995788574;46;203.64895463;
156;16;86.0919342041;207.511047363;41;168.263590813;18;113.074996948;262.995788574;43;207.844027758;
157;16;86.5177459717;210.57510376;41;170.4021945;18;112.074996948;273.995788574;43;211.035710096;
158;16;84.755569458;219.57510376;41;168.872602463;18;114.074996948;276.995788574;44;221.409408808;
159;16;85.0900115967;222.375091553;41;167.527777433;18;113.296005249;285.535797119;48;230.651058912;
160;16;88.4910125732;216.195098877;46;166.34873867;19;116.358436584;292.945770264;48;238.812146664;
161;16;83.9519042969;222.033111572;46;165.254962683;19;119.028991699;300.249237061;49;245.977954388;
162;16;83.4667205811;227.887298584;47;164.282234192;20;124.289886475;297.469512939;49;251.989224911;
163;16;86.0300445557;224.756072998;48;163.434128284;20;122.001739502;306.495788574;52;256.899363995;
164;16;84.6370391846;228.638000488;50;162.697690487;20;123.548675537;315.495788574;53;260.697386742;
165;16;85.2833404541;232.531707764;51;162.061159134;20;125.875;321.495788574;54;263.83430624;
166;16;88.9650039673;227.436035156;52;161.513847351;20;129.875;318.495788574;56;267.760201931;
167;16;88.6784973145;229.349945068;53;160.997627258;20;127.875;329.495788574;58;270.393687725;
168;16;84.4206542969;235.272460938;55;160.542928696;20;131.875;334.495819092;59;272.864151001;
169;16;85.188583374;239.202728271;53;160.153832436;20;133.875;336.495819092;58;275.185023665;
170;16;86.9797286987;237.139953613;49;159.822950363;20;133.875;342.089477539;58;277.176994324;
171;16;84.7917556763;241.083496094;50;159.543557644;20;134.875;348.089477539;61;279.176660657;
172;16;86.6225738525;242.032653809;50;159.309546471;20;134.875;356.089477539;62;292.1391927;
173;16;88.4703216553;237.986877441;52;159.115374088;20;139.294006348;361.68951416;64;303.10885632;
