Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
75;9;47.0499992371;75.8885498047;16;105.777360797;9;36.4000015259;66.7016372681;16;38.1070052385;
76;9;47.0499992371;76.9171905518;16;105.938990951;10;37.4000015259;67.7992630005;15;38.4940403104;
77;9;47.5555992126;79.3247070312;17;106.102064371;10;36.4000015259;66.8963012695;16;39.8789827824;
78;10;47.9178619385;82.3658752441;16;106.266447663;11;37.4000015259;67.9923248291;15;40.2765479088;
79;10;47.4197387695;85.4075164795;17;106.432002544;11;39.4000015259;70.0869369507;16;40.61885041;
80;10;48.0125160217;86.4495925903;19;107.59858799;11;40.4000015259;69.1797637939;16;40.9612299204;
81;10;49.0601882935;89.4920578003;19;107.82605958;11;39.4000015259;71.2704544067;16;41.3028399348;
82;10;48.6588630676;93.5348510742;21;108.057234168;11;39.4000015259;75.7021942139;17;41.6428734064;
83;10;50.5553321838;93.5779418945;22;108.292031288;11;39.4000015259;78.8219604492;18;41.9805669785;
84;10;50.2041320801;95.6212692261;23;108.885820866;11;40.4000015259;78.9375991821;18;42.3152055144;
85;11;50.9367103577;98.729637146;18;126.761461854;11;39.4000015259;82.0488433838;21;42.6461233497;
86;11;53.145652771;98.8425598145;18;128.756158829;11;39.4000015259;85.1555023193;21;42.9727050662;
87;12;53.3662452698;101.959892273;17;130.638292551;11;40.4000015259;85.2573852539;22;43.2943858504;
88;12;52.769203186;106.081413269;17;133.393326759;11;39.4000015259;88.3544158936;22;43.610650897;
89;12;54.921081543;108.206848145;19;136.099226832;11;39.4000015259;91.4465332031;21;43.9210341573;
90;12;57.0765533447;111.335891724;19;137.749379039;11;40.4000015259;91.5337219238;21;44.2251183391;
91;12;58.3679580688;116.468170166;21;139.301246881;11;39.4000015259;94.6160202026;22;44.5225303769;
92;12;59.6481552124;118.603279114;27;140.772405624;11;39.4000015259;97.6934890747;20;46.4239081144;
93;12;58.9398231506;123.740760803;28;143.18071413;11;39.4000015259;101.211677551;20;48.379083395;
94;12;60.2424964905;129.880126953;29;144.547902226;12;39.4000015259;104.268829346;12;65.36865592;
95;12;61.1938514709;133.118179321;27;150.991999745;12;40.4000015259;108.198249817;13;68.4220075011;
96;12;62.5425491333;138.085144043;27;156.408200502;12;41.4000015259;112.114624023;10;72.3732041121;
97;12;64.2702713013;143.893692017;28;160.960649729;12;44.4000015259;114.61390686;11;76.2514494658;
98;14;65.3591384888;149.572601318;26;164.834616899;12;46.4000015259;121.091842651;11;79.0373333097;
99;14;64.4881515503;153.478271484;26;167.853562117;12;48.4000015259;127.543380737;14;81.6596999764;
100;14;64.8704376221;155.725036621;26;170.007732272;12;49.4000015259;132.418655396;14;84.1117212176;
101;14;65.0528869629;157.143875122;24;171.956437111;12;52.4000015259;131.622009277;15;86.3924779892;
102;14;66.1747741699;159.594726562;23;173.939740419;12;50.4000015259;136.834106445;13;88.505574286;
103;15;67.2919921875;161.014831543;19;196.512246132;11;43.4000015259;135.05456543;16;69.5967170596;
