Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;11.0;10.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;2;11.3000001907;10.0;4;21.0;1;7.0;13.1000003815;6;23.0;
3;2;11.3000001907;10.0;5;21.0900000334;1;8.0;12.1000003815;6;23.0;
4;2;11.3269996643;10.0;5;21.1871190071;1;9.0;11.5;6;23.0;
5;2;12.5342035294;10.0;4;21.2917383909;1;9.60000038147;11.5;6;23.0;
6;2;13.5812826157;10.0;4;21.4042263031;1;10.6000003815;11.5;6;23.0;
7;2;14.631901741;10.0;3;21.9389723539;1;11.6000003815;11.5;6;23.0;
8;2;14.8725376129;10.1999998093;3;22.4109756947;1;11.8999996185;11.5;6;23.4599990845;
9;2;15.0849380493;10.3632001877;3;23.7114653587;1;12.0380001068;11.7299995422;6;23.8212833405;
10;2;15.6701593399;10.9097137451;3;24.8527286053;1;12.1463851929;11.9106416702;6;24.0;
11;2;17.6701602936;11.3658018112;3;25.8476524353;1;12.2000007629;12.0;6;25.2000007629;
12;2;19.6701602936;11.7372808456;3;26.7164058685;1;14.1463851929;12.6000003815;6;26.1576004028;
13;2;21.0107955933;12.0336990356;3;27.4822225571;1;15.1463851929;13.0788002014;6;26.9011039734;
14;2;21.3670005798;12.2662630081;3;28.168181181;1;16.1463851929;13.4505519867;6;27.4657306671;
15;2;21.6756820679;12.446267128;3;28.6269388199;1;17.1463851929;13.7328653336;6;27.88712883;
16;2;21.8821220398;12.5;3;29.0031633377;1;18.1463851929;13.943564415;7;28.0;
17;2;24.0030651093;12.5;3;29.4033532143;1;19.1463851929;14.0;6;28.0;
18;2;25.1831493378;12.5;3;29.8259272575;1;20.1463851929;14.0;6;28.0;
19;2;26.3733081818;12.5;4;30.268661499;1;20.3999996185;14.0;6;28.0;
20;2;27.5725383759;12.5;5;30.7286863327;1;20.3999996185;14.0;6;28.0;
21;2;27.8279075623;12.5;6;31.2025241852;1;20.3999996185;14.0;6;28.0;
22;3;28.041135788;12.5;5;31.6861643791;1;20.3999996185;14.0;7;28.0;
23;3;28.2587738037;12.5;5;32.1751794815;1;20.3999996185;14.0;7;28.0;
24;3;28.4788303375;12.5;5;32.6648726463;1;20.3999996185;14.0;7;28.0;
25;3;28.6991920471;12.5;5;33.1504516602;1;20.3999996185;14.0;7;28.0;
26;3;28.9177036285;12.5;5;33.6272163391;1;20.3999996185;14.0;7;28.0;
27;3;29.1322479248;12.5;5;34.0907382965;1;20.3999996185;14.0;6;28.0;
28;3;29.3408317566;12.5;5;34.5370264053;1;20.3999996185;14.0;6;28.0;
29;3;29.5416622162;12.5;5;34.9626617432;1;20.3999996185;14.0;7;28.0;
30;3;27.5416622162;13.5;5;35.3648881912;2;21.3999996185;14.5;6;29.0;
31;3;26.5416622162;14.5;5;35.7416639328;2;22.3999996185;14.0;6;29.2000000477;
32;3;25.5416622162;15.5;5;36.0916633606;2;22.7600002289;14.0;6;29.4376000166;
33;3;25.25;16.5;5;36.4142465591;2;22.8312797546;14.0;6;29.7188290358;
34;3;25.25;17.0656986237;6;36.7093906403;2;22.9156494141;14.0;6;30.0502393246;
35;3;25.25;17.1837558746;6;36.9776067734;2;23.0150718689;14.0;6;30.438754797;
36;3;26.25;18.5;6;37.2198410034;2;23.1316261292;14.0;6;30.8914179802;
37;3;27.25;19.5;6;37.4373731613;2;23.2674255371;14.0;6;31.4150128365;
38;3;28.25;20.5;5;37.6317224503;2;23.4245033264;14.0;6;32.0155425072;
39;3;29.25;21.5;5;37.8045597076;2;23.6046619415;14.0;6;32.6975607872;
40;3;30.25;22.5;5;38.9576301575;2;23.8092689514;14.0;6;33.4633779526;
41;3;32.0809326172;23.5;6;39.0900000334;2;24.0390129089;14.0;6;34.3122024536;
42;3;33.0999984741;24.5;6;39.1871190071;2;24.2936592102;14.0;7;35.2393260002;
43;3;33.6342048645;25.5;6;39.2917383909;2;24.5717964172;16.0;8;36.2355060577;
44;4;33.6812820435;26.5;6;39.4042263031;2;24.8706512451;18.0;8;37.2867269516;
45;4;33.7319030762;27.5;6;39.5249304771;2;25.1860179901;20.0;8;38.3745069504;
46;4;33.7862205505;27.5;6;39.6541694403;2;25.5123519897;22.0;8;39.476849556;
47;4;33.8443756104;27.5;7;39.7922235727;2;25.8430557251;24.0;8;40.5698070526;
48;4;33.90650177;27.5;7;39.9393253326;2;23.8430557251;25.0;8;41.6294660568;
49;4;33.9726982117;27.5;7;40.0956480503;2;24.8430557251;24.0;8;42.6340303421;
50;4;34.0430412292;27.5;7;40.261295557;2;25.8430557251;24.0;8;43.5656280518;
51;5;34.1175842285;27.5;6;40.4362905025;2;24.8430557251;25.0;9;44.4115219116;
52;5;34.1963310242;27.5;6;40.6205644608;2;24.3234558105;26.0;9;45.164560318;
53;5;34.2792549133;27.5;6;41.8139474392;2;23.5493679047;27.0;9;45.8228969574;
54;5;35.3662757874;28.5;6;42.0561592579;2;22.7468681335;28.0;9;46.3891487122;
55;5;36.4572715759;29.5;7;43.7489489317;2;21.9167442322;29.0;9;46.8692626953;
56;6;36.2213935852;32.0;6;45.1956114769;2;21.0607795715;30.0;9;47.2713165283;
57;6;37.7589035034;32.3899993896;7;46.4316477776;2;20.181394577;31.0;10;47.6044559479;
58;6;37.1968307495;34.6872596741;7;47.4944235086;3;19.8813362122;32.0;10;47.8780441284;
59;6;37.5523948669;35.5276069641;8;48.270699501;3;19.9634132385;33.0;12;48.0;
60;6;37.7751235962;35.7303924561;8;48.8461252451;3;20.0;34.0;12;48.0;
61;6;37.9041404724;35.8458786011;7;49.4028328657;3;20.0;35.0;13;48.0;
62;6;38.022064209;35.9637451172;9;50.8314312696;3;20.0;36.0;15;48.0;
63;6;39.0803756714;37.0833473206;8;51.2803518772;3;20.0;37.0;16;48.0;
64;6;40.1196479797;38.2040061951;9;51.7362855673;3;21.0;35.0;17;48.0;
65;6;40.1603622437;39.3250083923;8;52.1974331141;4;20.0;36.0;12;63.0;
66;6;40.2024917603;40.4456176758;10;52.6619750261;4;22.0;35.0;13;63.75;
67;6;40.2460174561;41.5651092529;12;53.1281138659;4;24.0;35.0;12;64.4193744659;
68;7;40.2908973694;42.3479232788;11;53.5941141844;4;22.0;37.0;13;65.0072898865;
69;7;40.3370857239;42.5008049011;12;54.0583388805;4;22.0;39.0;14;68.2564144135;
70;7;36.3499984741;43.4597053528;13;54.5192784071;4;21.0;39.0;15;70.8947086334;
71;7;35.3499984741;44.5438728333;13;54.9755759239;5;21.0;40.0;14;72.9919452667;
72;7;36.3499984741;45.6236114502;14;55.4260421991;5;21.0;39.0;14;74.63322258;
73;7;35.5336990356;47.0922088623;14;55.8696638346;5;21.0;39.0;15;75.732667923;
74;7;34.5854187012;47.3172492981;15;56.3056037426;6;21.0;39.0;15;76.4417285919;
75;7;33.8879814148;48.407043457;16;56.7331960201;6;20.0;38.0;15;76.8618297577;
76;8;33.9412765503;49.4916191101;16;57.1519315243;6;22.0;36.0;15;77.0;
77;8;34.9951858521;48.4916191101;16;57.5614449978;6;21.0;35.0;15;77.0;
78;8;36.0495910645;48.4916191101;16;57.9614949226;6;20.0;34.0;15;77.0;
79;8;37.1043701172;49.0;17;58.3519442081;6;20.0;34.0;20;77.0;
80;8;35.1593856812;51.0;17;58.732739687;7;22.0;33.0;15;87.0;
81;8;34.2145004272;53.0;17;59.1038901806;7;23.0;36.0;15;87.5;
82;8;34.2695922852;55.0;18;59.4654536247;7;25.0;39.0;15;88.9724998474;
83;8;34.3245201111;57.0;18;59.8175170422;8;29.0;44.0;15;91.5044173002;
84;8;34.3791465759;59.0;18;60.0938735008;8;34.0;50.0;14;92.08580935;
85;8;34.4333457947;61.0;18;60.333271265;8;36.5999984741;56.0;13;93.4831316471;
86;8;32.5999984741;62.0;19;60.5721683502;8;37.5999984741;61.0;14;94.7067298889;
87;8;32.5999984741;65.0;19;60.8100209236;8;38.5999984741;66.0;15;95.7737317085;
88;8;33.5999984741;64.0;19;61.0462925434;8;38.5999984741;69.0;16;96.7046449184;
89;9;32.5999984741;66.0;18;61.2804589272;8;38.5999984741;71.6203155518;16;97.5206917524;
90;9;32.5999984741;68.0;19;61.5120124817;8;38.5999984741;73.0;18;98.0987570286;
91;9;33.5999984741;67.0;20;61.7404668331;9;36.5999984741;76.0;17;98.5366852283;
92;10;32.5999984741;69.0;19;61.965359211;9;35.5999984741;79.0;18;98.9622799158;
93;10;32.5999984741;71.0;20;62.1862559319;9;34.5999984741;82.0;18;99.2821801901;
94;10;33.5999984741;71.0;20;62.40275383;10;33.5999984741;85.0;17;99.5624101162;
95;10;33.5999984741;71.0;21;62.6144828796;10;32.5999984741;88.0;17;99.8536660671;
96;11;32.5999984741;74.0;18;63.3979787827;11;33.5999984741;85.0;12;100.155607343;
97;12;33.5999984741;71.0;17;64.204641819;11;30.6000003815;88.0;13;100.467768908;
98;12;33.5999984741;69.0;16;65.0288047791;11;29.6000003815;91.0;13;100.789557457;
99;12;32.5999984741;71.0;16;65.8641967773;11;31.0;88.0;13;101.120249152;
100;12;33.5999984741;70.0;16;67.7041172981;11;29.0;91.0;14;102.458992124;
101;12;34.5999984741;70.0;12;69.5816373825;11;30.0;95.0;14;102.824812293;
102;12;35.5999984741;74.0;12;71.5110077858;11;33.0;93.0;14;103.19681859;
103;12;38.5999984741;77.0;11;73.4884812832;11;31.0;98.0;15;103.57381916;
104;12;40.5999984741;81.0;13;74.470815897;11;31.0;103.0;16;103.95453918;
105;14;40.5999984741;88.0;9;75.4326879978;11;33.0;99.0;15;104.337643027;
106;14;41.5999984741;92.0;10;76.369333744;11;32.0;99.0;16;104.721756101;
107;14;41.5999984741;95.0;9;77.2768527269;11;31.0;102.0;15;105.10548985;
108;14;41.086517334;98.0;10;78.1522692442;11;33.0;99.8007202148;16;105.487467408;
109;14;42.0958518982;98.0;10;78.9935320616;11;38.1487464905;103.165122986;16;105.866348863;
110;14;41.5999984741;98.6175460815;14;79.7994782925;11;40.3866348267;107.186500549;18;106.240854859;
111;14;40.5999984741;101.0;14;80.5697616339;11;41.4240875244;111.208015442;18;106.609787822;
112;14;41.5999984741;102.640815735;15;81.304749012;11;41.6609802246;115.229660034;19;106.972050905;
