Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_LAENFA;Research_KI_6_SP_LAENFA;Industry_KI_6_SP_LAENFA;Ships_KI_6_SP_LAENFA;Population_KI_6_SP_LAENFA;
1;1;11.0;10.0;4;20.0;1;6.0;14.1000003815;4;23.0;
2;1;11.0;10.0;5;20.0;1;7.0;13.1000003815;6;23.0;
3;1;11.0;10.0;5;20.0;1;8.0;12.1000003815;6;23.0;
4;1;11.0;10.0;4;20.0;1;9.0;11.5;6;23.0;
5;1;12.0;10.0;4;20.0;1;9.60000038147;11.5;6;23.0;
6;1;13.0;10.0;4;20.0;1;10.6000003815;11.5;6;23.0;
7;1;14.0;10.0;4;20.3999996185;1;11.6000003815;11.5;6;23.0;
8;2;14.6300001144;10.1999998093;3;21.7264003754;1;11.8999996185;11.5;6;23.4599990845;
9;2;14.7768793106;10.3632001877;3;22.8594274521;1;12.0380001068;11.7299995422;6;23.8212833405;
10;2;15.2867431641;10.9097137451;3;23.8127875328;1;12.1463851929;11.9106416702;5;24.0;
11;2;17.2867431641;11.3658018112;3;24.5981152058;1;12.2000007629;12.0;5;25.2000007629;
12;2;19.2867431641;11.7372808456;3;25.2345055342;1;14.1463851929;12.6000003815;5;26.1576004028;
13;2;20.3439407349;12.0336990356;4;25.7443674803;1;15.1463851929;13.0788002014;5;26.9011039734;
14;2;21.3640708923;12.2662630081;4;26.1502821445;1;16.1463851929;13.4505519867;5;27.4657306671;
15;2;22.3847293854;12.446267128;4;26.3048160076;1;17.1463851929;13.7328653336;5;27.88712883;
16;2;23.4059104919;12.5;4;26.3530313969;1;18.1463851929;13.943564415;6;28.0;
17;2;24.4276065826;12.5;4;26.4023760557;1;19.1463851929;14.0;6;28.0;
18;2;25.4498119354;12.5;4;26.4528282881;1;20.1463851929;14.0;6;28.0;
19;2;25.9037723541;12.5;5;26.5043625832;1;20.3999996185;14.0;6;28.0;
20;2;25.9269638062;12.5;5;26.5569496155;1;20.3999996185;14.0;7;28.0;
21;2;25.9506263733;12.5;5;26.6105561256;1;20.3999996185;14.0;7;28.0;
22;2;25.9747505188;12.5;5;26.6651450396;1;20.3999996185;14.0;7;28.0;
23;2;25.9993152618;12.5;5;26.72067523;1;20.3999996185;14.0;8;28.0;
24;2;26.0243034363;12.5;5;26.7771017551;1;20.3999996185;14.0;8;28.0;
25;2;26.0496959686;12.5;5;26.8343759775;1;20.3999996185;14.0;8;28.0;
26;2;26.0754699707;12.5;5;26.8924454451;1;20.3999996185;14.0;8;28.0;
27;2;26.101600647;12.5;5;26.9512542486;1;20.3999996185;14.0;8;28.0;
28;2;26.1280651093;12.5;6;27.0107431412;1;20.3999996185;14.0;8;28.0;
29;2;26.1548347473;12.5;6;27.0708494186;1;20.3999996185;14.0;8;28.0;
30;2;26.1818828583;12.5;6;27.1315076351;2;21.3999996185;14.5;7;29.0;
31;2;26.2091789246;12.5;6;27.1926498413;2;20.3999996185;15.0;7;29.1050000191;
32;2;26.2366924286;12.5;6;27.2542052269;2;19.7314987183;16.0;8;29.2198647261;
33;2;26.2643928528;12.5;6;27.3161010742;2;18.765958786;17.0;8;29.3452684879;
34;2;26.2922458649;12.5;6;27.3782629967;2;17.8035812378;18.0;8;29.4818768501;
35;2;26.3202190399;12.5;6;27.4406147003;2;16.8445625305;19.0;8;29.630333066;
36;2;26.3482761383;14.5;6;27.5030794144;2;15.8890991211;20.0;9;29.7912415266;
37;2;26.3763847351;16.5;7;27.5655794144;3;14.9373722076;21.0;8;29.9651488066;
38;2;26.404510498;18.5;7;27.628036499;3;14.5895442963;22.0;8;30.1525228024;
39;2;26.4326171875;20.5;7;27.690372467;3;15.0;21.0;8;30.3537294865;
40;2;26.4606666565;22.5;8;27.7525100708;3;14.7061185837;21.0;7;30.5690078735;
41;2;26.4886302948;22.5;8;27.8143725395;3;14.0;22.0;7;30.7984457016;
42;2;26.5164680481;22.5;9;27.8758842945;4;14.8395338058;23.0;7;31.0419540405;
43;2;26.5441474915;22.5;9;27.936971426;4;14.9125862122;24.0;7;31.299243927;
44;2;26.5716362;22.5;9;27.9975619316;4;14.9897727966;25.0;7;31.5698068142;
45;2;26.598903656;22.5;10;28.0575861931;4;15.0;24.0;8;31.852899313;
46;2;26.62591362;22.5;10;28.1169772148;4;15.0;24.0;8;32.1475343704;
47;2;26.652639389;22.5;10;28.1756706238;4;15.244260788;25.0;8;32.4524803162;
48;2;26.6790523529;22.5;11;28.2336053848;4;16.3357448578;24.0;9;32.7662696838;
49;2;26.705121994;22.5;11;28.2907235622;4;17.4298801422;24.0;10;33.0872173309;
50;2;26.7308254242;22.5;11;28.346971035;4;17.0;24.0;11;33.4134492874;
51;2;26.7561378479;22.5;13;28.4022974968;5;20.0;25.0;10;34.7429418564;
52;2;26.7810344696;22.5;13;28.4566559792;5;22.7228832245;26.0;12;35.2710664272;
53;2;26.8054962158;22.5;13;28.5100040436;5;24.1813201904;27.0;12;35.8347855806;
54;2;26.8295021057;22.5;13;28.5623030663;5;23.4294929504;29.0;12;36.4377139807;
55;2;26.8530368805;22.5;14;28.6135182381;5;25.512462616;29.0;13;37.0840184689;
56;2;26.876083374;22.5;14;28.6636190414;5;27.0100440979;29.0;13;37.7783272266;
57;2;26.8986282349;22.5;15;28.7125790119;5;26.6092720032;30.0;14;38.5255386829;
58;2;26.9206600189;22.5;15;28.7603754997;5;27.5576610565;29.0;15;39.33050704;
59;2;26.9421691895;22.5;15;28.8069901466;6;24.7006435394;31.0;13;40.1975848675;
60;2;26.9631462097;22.5;16;29.9285476208;6;25.7006435394;30.976650238;13;41.1300191879;
61;2;27.4678478241;23.0;17;30.8292117119;6;27.7006435394;29.0;13;42.1292171478;
62;2;27.8731460571;23.3899993896;17;31.543211937;6;26.3093090057;30.0;13;44.1939458847;
63;2;28.1944446564;23.6872596741;17;32.1062078476;6;25.3999996185;33.0;12;45.349558115;
64;2;28.4477939606;23.9097423553;17;32.4030337334;6;26.3999996185;34.0;9;46.5579769611;
65;2;28.581363678;24.0;17;32.5173788071;6;27.3999996185;33.0;9;47.8062360287;
66;3;28.6328201294;24.0;16;32.6295280457;6;29.3999996185;33.0;8;50.0772993565;
67;3;28.6832866669;24.0;16;32.7392697334;6;30.3444156647;35.0;7;51.3708719015;
68;4;28.7326698303;24.0;14;47.846411705;6;31.3940372467;36.0;7;52.6449795961;
69;4;27.7326698303;26.0;14;49.0007824898;6;32.4395446777;37.0;9;53.8773590326;
70;4;28.5999984741;27.9803123474;14;50.0572099686;6;31.4395427704;39.0;10;55.0475865602;
71;4;29.5999984741;29.0208930969;14;51.0050191879;6;31.4395427704;41.0;10;56.1273617744;
72;4;28.5999984741;31.060256958;16;51.8404483795;6;31.3999996185;42.5509490967;10;57.0234621763;
73;5;31.5999984741;32.0983581543;16;53.5656952858;6;31.3999996185;43.5614051819;11;59.936045289;
74;6;31.5999984741;34.1351661682;15;54.2674514055;7;32.8199996948;42.2719459534;10;62.3684689999;
75;6;31.0461826324;36.1706542969;15;54.8808480501;7;32.1375198364;43.8117599487;10;64.3657603264;
76;6;30.145740509;38.2048072815;15;55.4171726704;7;33.369758606;42.2095146179;13;65.9875580072;
77;6;29.2274131775;40.237613678;16;55.8880037069;7;34.5353660583;42.4962844849;13;67.1250166893;
78;6;30.2937583923;40.2048072815;16;56.2056849003;7;32.5999984741;42.6148300171;13;67.9107102156;
79;6;31.3249988556;40.2048072815;16;56.3875955343;7;30.6000003815;44.6257171631;13;68.5749218464;
80;6;29.3249988556;42.2048072815;16;56.5727871656;7;29.6000003815;46.6366577148;13;70.093906045;
81;6;28.3249988556;44.2048072815;16;56.7614427805;8;29.6000003815;49.6476516724;12;70.5378205776;
82;6;27.3249988556;46.2048072815;17;56.9373728037;8;29.6000003815;52.0;12;70.7382211685;
83;6;26.3249988556;48.2048072815;17;57.0742022991;8;29.6000003815;52.676361084;13;70.9177411795;
84;7;25.3249988556;50.2048072815;16;57.2178573608;8;27.6000003815;55.6942672729;13;71.1058009863;
85;7;24.3249988556;52.2048072815;18;57.3682756424;8;26.6000003815;58.7123985291;14;71.3026983738;
86;7;23.3249988556;54.2048072815;21;57.5253331661;8;27.6000003815;59.7307434082;14;71.508699894;
87;7;22.7250003815;55.4000015259;21;57.6888401508;8;28.6000003815;61.04845047;14;71.724032402;
88;7;22.7250003815;56.4000015259;22;57.8585371971;8;29.6000003815;62.0950508118;14;71.9488731623;
89;7;22.7250003815;57.4000015259;22;58.0340931416;8;30.6000003815;62.7869606018;14;73.1833389997;
90;7;23.7250003815;55.4000015259;22;58.2151043415;9;31.6000003815;63.0;13;74.3113547564;
91;7;22.7250003815;56.4000015259;23;58.4010946751;9;32.5999984741;62.0;10;74.5679112673;
92;7;22.7250003815;57.4000015259;23;58.5915186405;9;32.5999984741;66.8365707397;9;74.8370921016;
93;7;23.7250003815;55.4000015259;23;58.7857651711;9;31.6000003815;70.6904296875;8;75.118413806;
94;7;22.7250003815;56.4000015259;23;58.9831638336;9;33.5999984741;69.8453826904;8;75.4113066792;
95;7;22.7250003815;57.4000015259;23;59.1829924583;10;33.5999984741;73.0066223145;7;75.7151046395;
96;7;22.7250003815;59.2999992371;23;59.3844876289;10;31.6000003815;74.2587585449;8;77.0290395021;
97;7;22.7250003815;60.2999992371;25;59.586853981;10;32.5999984741;76.3467025757;8;77.3722372651;
98;7;22.7250003815;62.2999992371;26;59.7892785072;10;28.6000003815;77.0798339844;8;77.4397916794;
99;8;22.7250003815;64.3000030518;24;62.3239340782;9;25.0;75.15675354;9;75.163151741;
100;8;24.7250003815;64.0450134277;22;65.242552042;10;26.0;72.7493438721;8;75.2442017198;
101;8;24.9139995575;66.3968658447;22;67.6745297909;10;27.0;75.4598617554;9;75.5642452836;
102;8;25.0692825317;68.7515182495;22;69.6893045902;10;29.0;79.4555053711;10;75.8884523511;
103;8;26.194486618;68.9812011719;22;71.3637628555;10;30.0;80.4515762329;12;76.2154967189;
104;8;25.2938766479;72.213142395;22;72.5983846188;10;28.0;82.4480514526;13;76.4277349114;
105;8;26.3717842102;72.213142395;24;74.3847093582;10;27.0;84.0317687988;13;76.6483638883;
106;9;27.3999996185;73.213142395;25;75.059602499;10;28.0;82.0289077759;14;76.875166297;
107;10;28.3999996185;74.213142395;23;76.3618202806;9;27.0;78.3981628418;13;76.5242166519;
108;10;29.3999996185;76.213142395;23;77.0167294741;9;26.0;79.3958435059;14;76.6459153295;
109;10;30.3999996185;78.213142395;24;77.6468898654;9;26.0;77.3937606812;14;76.7733342648;
110;11;30.3999996185;80.213142395;24;78.2500216365;9;25.0;78.3918838501;15;76.9043727517;
111;12;29.3999996185;85.213142395;23;78.824424684;9;25.0;79.3901977539;16;77.0371617675;
112;15;31.3999996185;88.213142395;21;81.3689790964;7;26.0;76.3901977539;16;77.170060873;
113;17;33.4000015259;90.3287963867;18;90.7602846026;6;25.0;70.3901977539;17;69.8656964302;
114;17;36.4000015259;94.6794052124;18;93.5608475208;6;26.0;69.3901977539;17;69.8041267693;
115;17;38.4000015259;99.0242462158;18;96.3472533226;6;24.0;69.3901977539;18;69.748714149;
116;17;40.4000015259;101.024246216;24;99.0827944279;6;25.0;67.3901977539;18;69.6988428235;
117;18;40.4000015259;106.024246216;19;103.79994905;5;19.0;61.0;19;67.5665693581;
118;18;43.4000015259;109.024246216;22;106.422821045;5;19.0;60.0;20;67.5349124074;
119;18;44.4000015259;114.024246216;22;108.919865966;5;20.0;60.0;22;67.5064211488;
120;18;47.4000015259;116.024246216;20;111.280547142;5;19.0;59.0;21;67.4807790071;
121;18;48.4000015259;121.024246216;20;114.457374811;5;19.0;58.0;21;67.5119220763;
122;18;51.4000015259;127.024246216;21;116.521566272;5;21.0;59.0;21;67.5778818429;
123;17;54.4000015259;129.024246216;21;118.450538278;6;21.0;59.0;16;67.6477026939;
