Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;11.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;11.0;10.0;5;20.0;
4;2;8.14999961853;10.6999998093;4;22.8400001526;1;11.0;10.0;5;20.0;
5;2;8.42599964142;10.9200000763;4;23.6501437426;1;12.0;10.0;5;20.0;
6;2;9.52799987793;11.2650718689;4;24.3396611214;1;13.0;10.0;5;20.0;
7;2;10.4764242172;11.543302536;4;24.9285950661;1;14.0;10.0;5;20.3999996185;
8;2;10.6089334488;11.7641716003;4;25.6865624189;1;14.1800003052;10.1999998093;5;20.7264003754;
9;2;10.7794761658;12.0549411774;4;26.3381440639;1;14.3268795013;10.3632001877;5;21.8194274902;
10;2;10.9260816574;12.2827939987;4;26.907253623;2;15.2687425613;10.9097137451;4;23.7316036224;
11;2;11.0541315079;12.4589796066;5;27.2282226086;2;17.268743515;11.3658018112;4;24.5145616531;
12;2;13.9748477936;12.5;5;27.4905240536;2;19.268743515;11.7372808456;4;25.1485819817;
13;2;15.9748477936;12.5;5;27.7771704197;2;20.3052749634;12.0336990356;5;25.6560795307;
14;2;17.1521205902;12.5;5;28.0888476372;2;21.3243408203;12.2662630081;5;26.0596417189;
15;2;18.2222480774;12.5;5;28.4258766174;2;22.3439407349;12.446267128;5;26.211841464;
16;2;19.298078537;12.5;5;28.7881331444;2;23.3640708923;12.5;5;26.2577478886;
17;2;20.3795852661;12.5;5;29.1749720573;2;24.3847293854;12.5;5;26.3048160076;
18;2;20.5643692017;12.5;6;29.5851640701;2;25.4059104919;12.5;5;26.3530313969;
19;2;20.6566619873;12.5;6;30.0168495178;2;25.8588638306;12.5;6;26.4023760557;
20;2;20.7537918091;12.5;6;30.4675207138;2;25.8810691833;12.5;5;26.4528282881;
21;2;20.8551921844;12.5;6;30.934035778;2;25.9037723541;12.5;5;26.5043625832;
22;3;20.9601573944;12.5;5;31.4126729965;2;25.9269638062;12.5;5;26.5569496155;
