Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;11.0;10.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;11.0;10.0;5;20.0;
4;2;8.14999961853;10.6999998093;5;22.8400001526;1;11.0;10.0;5;20.0;
5;2;8.42599964142;10.9200000763;5;23.6501437426;1;12.0;10.0;5;20.0;
6;2;9.52799987793;11.2650718689;5;24.3396611214;1;13.0;10.0;4;20.0;
7;2;10.4764242172;11.543302536;4;24.9285950661;1;14.0;10.0;4;20.3999996185;
8;2;10.6089334488;11.7641716003;4;25.6865624189;1;14.1800003052;10.1999998093;4;20.7264003754;
9;2;10.7794761658;12.0549411774;4;26.3381440639;2;14.7768793106;10.3632001877;3;22.8194274902;
10;2;10.9260816574;12.2827939987;3;26.907253623;2;15.2687425613;10.9097137451;3;23.7616035938;
11;2;11.0541315079;12.4589796066;3;27.2282226086;2;17.268743515;11.3658018112;3;24.5351526737;
12;2;13.0541324615;12.5;3;27.4905240536;2;19.268743515;11.7372808456;3;25.1591641903;
13;2;15.0541324615;12.5;3;27.7771704197;2;20.3100376129;12.0336990356;4;25.6560432911;
14;2;16.2314033508;12.5;3;28.0888476372;2;21.3243255615;12.2662630081;4;26.0483692884;
15;2;17.301530838;12.5;3;28.4258766174;2;22.3388690948;12.446267128;4;26.1887089014;
16;2;18.377363205;12.5;3;28.7881331444;2;23.3536624908;12.5;4;26.2221269608;
17;2;19.4588699341;12.5;3;29.1749720573;2;24.3687000275;12.5;4;26.2560760975;
18;2;20.5459098816;12.5;4;29.5851640701;2;25.3839759827;12.5;4;26.2905418873;
19;2;20.6566619873;12.5;4;30.0168495178;2;25.8307437897;12.5;5;26.3255085945;
20;2;20.7537918091;12.5;4;30.4675207138;2;25.8464794159;12.5;5;26.3609591722;
21;2;20.8551921844;12.5;4;30.934035778;2;25.8624305725;12.5;5;26.3968753815;
22;3;20.9601573944;12.5;3;31.4126729965;2;25.8785934448;12.5;5;26.4332377911;
